county,交易年月,median_price,volume
臺北市,2012-07-15,512063.46,822.0
臺北市,2012-08-15,526889.98,1420.0
臺北市,2012-09-15,531623.88,1410.0
臺北市,2012-10-15,524132.93,1892.0
臺北市,2012-11-15,513156.03,1760.0
臺北市,2012-12-15,509777.5,2351.0
臺北市,2013-01-15,543814.02,1502.0
臺北市,2013-02-15,532286.69,1253.0
臺北市,2013-03-15,550733.06,2327.0
臺北市,2013-04-15,557265.32,2443.0
臺北市,2013-05-15,555974.4,2546.0
臺北市,2013-06-15,550114.87,2231.0
臺北市,2013-07-15,564762.87,2061.0
臺北市,2013-08-15,559465.32,1842.0
臺北市,2013-09-15,544025.59,2019.0
臺北市,2013-10-15,558597.56,2043.0
臺北市,2013-11-15,567807.51,1901.0
臺北市,2013-12-15,553610.76,2644.0
臺北市,2014-01-15,575027.38,1199.0
臺北市,2014-02-15,579543.1,1085.0
臺北市,2014-03-15,572597.62,1839.0
臺北市,2014-04-15,580062.11,1910.0
臺北市,2014-05-15,587005.95,1550.0
臺北市,2014-06-15,571949.68,1469.0
臺北市,2014-07-15,568938.1,1391.0
臺北市,2014-08-15,563258.73,1309.0
臺北市,2014-09-15,556496.72,1440.0
臺北市,2014-10-15,574197.63,1481.0
臺北市,2014-11-15,577447.23,1497.0
臺北市,2014-12-15,530511.47,1994.0
臺北市,2015-01-15,576946.4,1102.0
臺北市,2015-02-15,581632.37,719.0
臺北市,2015-03-15,564556.26,1330.0
臺北市,2015-04-15,568367.85,1268.0
臺北市,2015-05-15,569273.64,1222.0
臺北市,2015-06-15,557952.93,1140.0
臺北市,2015-07-15,544412.37,1205.0
臺北市,2015-08-15,533256.95,1082.0
臺北市,2015-09-15,541614.01,998.0
臺北市,2015-10-15,516531.25,1373.0
臺北市,2015-11-15,515741.16,1629.0
臺北市,2015-12-15,522045.32,1725.0
臺北市,2016-01-15,541933.02,773.0
臺北市,2016-02-15,527303.2,416.0
臺北市,2016-03-15,525556.08,840.0
臺北市,2016-04-15,538645.4,1082.0
臺北市,2016-05-15,538409.03,1129.0
臺北市,2016-06-15,536746.21,1056.0
臺北市,2016-07-15,523372.6,774.0
臺北市,2016-08-15,509529.57,336.0
新北市,2012-07-15,232480.39,2269.0
新北市,2012-08-15,252267.25,3014.0
新北市,2012-09-15,252549.9,3153.0
新北市,2012-10-15,257144.96,3728.0
新北市,2012-11-15,256027.6,3253.0
新北市,2012-12-15,261809.44,3851.0
新北市,2013-01-15,266001.2,3163.0
新北市,2013-02-15,266726.82,2246.0
新北市,2013-03-15,272475.6,4744.0
新北市,2013-04-15,277652.49,4678.0
新北市,2013-05-15,278751.67,4985.0
新北市,2013-06-15,281670.69,4411.0
新北市,2013-07-15,285926.91,4140.0
新北市,2013-08-15,285832.69,3547.0
新北市,2013-09-15,291548.42,3469.0
新北市,2013-10-15,294240.99,3672.0
新北市,2013-11-15,292900.49,3489.0
新北市,2013-12-15,292733.55,4084.0
新北市,2014-01-15,296771.58,2114.0
新北市,2014-02-15,298674.07,1790.0
新北市,2014-03-15,309416.27,3196.0
新北市,2014-04-15,302983.18,3374.0
新北市,2014-05-15,306282.37,2877.0
新北市,2014-06-15,299855.89,2563.0
新北市,2014-07-15,305525.34,2675.0
新北市,2014-08-15,310695.61,2270.0
新北市,2014-09-15,306712.12,2426.0
新北市,2014-10-15,300550.11,2599.0
新北市,2014-11-15,306725.35,2603.0
新北市,2014-12-15,302960.04,3078.0
新北市,2015-01-15,305151.79,1829.0
新北市,2015-02-15,305690.63,1267.0
新北市,2015-03-15,304821.21,2258.0
新北市,2015-04-15,305892.29,2339.0
新北市,2015-05-15,303232.77,2294.0
新北市,2015-06-15,311174.95,2347.0
新北市,2015-07-15,295540.17,2146.0
新北市,2015-08-15,290854.2,1849.0
新北市,2015-09-15,285110.38,1676.0
新北市,2015-10-15,289019.48,2165.0
新北市,2015-11-15,288252.54,2550.0
新北市,2015-12-15,289745.1,2552.0
新北市,2016-01-15,286512.03,1354.0
新北市,2016-02-15,295726.95,846.0
新北市,2016-03-15,284933.51,1827.0
新北市,2016-04-15,288212.87,1974.0
新北市,2016-05-15,293079.0,2161.0
新北市,2016-06-15,298098.86,1946.0
